cid,filename,width,height,xmin,ymin,xmax,ymax,num_tokens
186784547,500_F_186784547_WANYZGzdCiC391Gr3wPoW2gqkWAUGMpd.jpg,500,331,28,31,101,51,1
12004926,500_F_12004926_OgQd7rhc2px8ZmyUHTXktxzw8Je60teE.jpg,334,500,26,24,129,54,2
137252487,500_F_137252487_0cQ8CwGagW97TN3WiQS5BAddlpHUs4aj.jpg,500,334,254,244,479,311,36
77331376,500_F_77331376_7WjY8iI7NPCsIeC2Vvf4Tn71tBdN1iey.jpg,331,500,35,28,110,56,1
46376423,500_F_46376423_VjZCkVUQS9ftuk6SN4vjy9FhIN1PL3eg.jpg,500,324,36,34,125,60,2
127387843,500_F_127387843_V97hhapKOwhZBCTruCHNa0IJsLT4hop3.jpg,500,332,260,40,448,66,5
109084266,500_F_109084266_p9QYDskGoHLrk6gXm3P52guRSJtZn6bT.jpg,500,334,78,20,260,64,10
104367002,500_F_104367002_Z64ydHaFZ2lmqqHwBSmQwk9lYVDDeby4.jpg,500,334,57,44,121,64,1
24257710,500_F_24257710_q4vHkB5PD8N65qCe6J8eaKcKtEaRE6Ov.jpg,500,329,326,29,469,72,5
159174695,500_F_159174695_t4oYcqv1BFtxl09NjBxwqzVwaRqeNL97.jpg,500,334,33,242,214,302,10
92763849,500_F_92763849_m85gsHOXNG6239hkVdYBOLQDVEi6evSG.jpg,500,334,30,32,195,58,5
117647406,500_F_117647406_AG3i39ouwNHMPdw24sNmD2xrJqUuGBFG.jpg,334,500,27,445,166,477,3
176326016,500_F_176326016_ObeafRGR0qCFCLN9JyXt8DD8RRisPPUd.jpg,378,500,17,21,165,54,5
104130243,500_F_104130243_ShIg9bVHWiemke4Kn4zdxHisNb6Trbt9.jpg,500,334,293,19,474,47,5
208019258,500_F_208019258_WJYEjKaKTkjmc00RNLTLrZQfN6oT4ZSQ.jpg,500,333,290,18,470,71,36
29725567,500_F_29725567_TWrP4wAqWG6HjwfrYvAgQ6JUw25iTpcm.jpg,500,334,15,18,160,59,10
184853250,500_F_184853250_mpv7tvY0pNv6t3UPWxgcVriNZWgPWbs8.jpg,500,334,21,19,172,59,10
80530471,500_F_80530471_PpOWULP1V0tlObJtVxMJdoggvzSNazPq.jpg,500,495,30,43,143,68,2
90458641,500_F_90458641_So1evIjOUDVQKx1ET76YlVWJ5sdWMOJf.jpg,500,415,411,23,472,45,1
118082962,500_F_118082962_EwxHu6cA1ATCa1EBGFjDQg1u74nSymn2.jpg,500,500,360,27,472,53,2
117343717,500_F_117343717_KvFYEkyGjoDVcWYuQnyNjxu9XlqFZ36j.jpg,500,334,24,26,135,65,5
179149601,500_F_179149601_iPc5e7HJvk5P4jDH3lyzZa9bcVTF3OBb.jpg,500,309,334,257,471,282,3
500_F_80746147_1RYTREs3bSzA2voY5KkhjJI1RedguC4l,500_F_80746147_1RYTREs3bSzA2voY5KkhjJI1RedguC4l.jpg,334,500,30,25,306,93,36
51439721,500_F_51439721_9w0qEZtJPGLDrE5oz2Ls5NablVZ8g91f.jpg,500,334,340,22,472,47,3
45791622,500_F_45791622_ihc3iI01kRF4kRPsKmoPO232S0hGHw4q.jpg,500,334,36,281,468,322,36
190966564,500_F_190966564_re7GqTXX9HA4Twmzk6F4BoBXret4hGeP.jpg,500,334,21,19,165,44,3
138363237,500_F_138363237_sekTnN8dXvcxHXKpXGgwkgArmDkSyAJh.jpg,500,334,317,244,464,300,10
30792349,500_F_30792349_6MW6lDuURYL4RHS74CPIHOR6dCBBH9CE.jpg,304,500,17,14,131,40,3
109012353,500_F_109012353_j1vr95FchyVQrZRCuKbGugoXg6rZbXlA.jpg,500,334,329,37,455,62,2
66166475,500_F_66166475_hH5DkHi6sTKVU78C4UFfl6ISxR2SQR2y.jpg,500,334,148,33,346,60,5
83919999,500_F_83919999_GfS0To0e8BEzMxbUbpOgPWSsPN9mszfy.jpg,334,500,20,16,312,55,10
88128730,500_F_88128730_5pC0x546aVopBVBEy8TiLC9wz4PVswFo.jpg,500,334,413,17,478,38,1
15333872,500_F_15333872_0grw8C7g2VoNb82Dot1wOzAHaSATjviZ.jpg,500,335,26,23,124,49,2
92800998,500_F_92800998_uwVmAZ0ZuBKo3qkOa9L0qqXGRusl6oXr.jpg,500,334,286,26,477,70,10
51297076,500_F_51297076_CY1D3BG0EkJjPS5P5tv01XiwLFHL1H43.jpg,500,400,356,19,476,62,5
84612755,500_F_84612755_gayTP3I0t5oBGgQFzvP0xweYbfUelnvI.jpg,500,334,18,293,213,319,5
175465178,500_F_175465178_zYyG8c5A0p8i5v5oqW06PSQaHGcSRu8G.jpg,500,334,169,27,358,53,5
500_F_191787625_4hFEgNif9PwS96JnEOck9Qz87Ch7s3im,500_F_191787625_4hFEgNif9PwS96JnEOck9Qz87Ch7s3im.jpg,500,334,320,14,488,68,10
77241097,500_F_77241097_yR6uuiTChHvIYCVFMtuCf5TSeD2t717w.jpg,500,333,299,16,485,43,5
92822815,500_F_92822815_aUhHI0uvkZM4xUPBE4AlXu3g5Ce6v1EL.jpg,334,500,40,405,290,467,10
192364486,500_F_192364486_7KyExKz1C3w88b1qwSNWhJSwbWJd1THz.jpg,500,333,28,263,213,307,10
126512765,500_F_126512765_yVS5FbmdoVgy7tZhv7PvLoEm0HyetSph.jpg,500,334,256,26,467,68,10
166150316,500_F_166150316_ikvE1UjIo2aL1jOLpplra8IEGcUEsgfR.jpg,332,500,31,104,291,170,36
69354643,500_F_69354643_RLk3P0HiPvzMYjZFrwEtO10x243j29SJ.jpg,500,334,333,19,478,50,5
196076744,500_F_196076744_Q63DRJkqW3u2PAQfSyFmgJIQYvocf1Yw.jpg,500,376,265,25,470,84,36
138752623,500_F_138752623_XXsGWKL2Ap2xqSLvjcxnEbZMxQWGN5Ql.jpg,500,306,37,28,226,56,5
127978277,500_F_127978277_LQwObLQLKwfPplQLVoFQPKBEb9PGZzxk.jpg,500,375,37,35,172,59,3
55425459,500_F_55425459_os8B9PxTH9rhF4TFbgfXhB4wm8gjdpBI.jpg,372,500,237,41,326,72,1
141011629,500_F_141011629_VGV3BM5fZ71vIzuSM8dgyKgode0DRocn.jpg,500,343,63,52,124,75,1
212141736,500_F_212141736_8U3cAkHaxUp5Um0P1dMmpWPW2OXfQudP.jpg,500,358,331,282,479,334,10
46376423,500_F_46376423_VjZCkVUQS9ftuk6SN4vjy9FhIN1PL3eg.jpg,500,324,26,21,263,62,10
131888179,500_F_131888179_SYl2rGwxUSqk6wh7TwBwDps7MlTUnxS6.jpg,500,334,32,26,134,51,2
151094490,500_F_151094490_ehbRzCs9VOrkYFXDMtjfiGRTHjEkIGlm.jpg,334,500,231,27,298,54,1
10281975,500_F_10281975_0hF2beyf0MYgQTcQt4FZ8vg4cddZIjn8.jpg,500,425,41,39,148,63,2
145858609,500_F_145858609_OUnvr69CZefdPbEWIsh2yLZkqFCQSBkg.jpg,388,500,259,25,355,51,2
114823582,500_F_114823582_WP25V35utKwEa7Ieh1ukKl926CV96aQT.jpg,334,500,20,456,143,482,2
32731969,500_F_32731969_KsDGb0uhP6n3MUX0egod6IJ2uzUFxAt8.jpg,333,500,21,20,167,65,5
106529116,500_F_106529116_ZetFlq2LnrTZy3xJZvkNVKXynyV441PU.jpg,500,334,21,275,480,316,36
64102221,500_F_64102221_CutdmOrI8vMLdLLUt73sIq4W5dRE9cqC.jpg,500,334,47,43,104,65,1
2603740,500_F_2603740_PdEk7MNOPYRSyLMtPQRxKqDjcd0k7U.jpg,500,334,38,34,197,81,10
42416355,500_F_42416355_j3WnZphqoimNw5a9rg2XXZHJVpKWoILO.jpg,500,334,332,20,479,70,10
96281789,500_F_96281789_Ivxzxn5u5aC0Uf9LccsEnINBhrY4KfpS.jpg,500,334,335,18,472,45,3
138752623,500_F_138752623_XXsGWKL2Ap2xqSLvjcxnEbZMxQWGN5Ql.jpg,500,306,42,27,115,54,1
60709044,500_F_60709044_ZtT4CGO1X5gmSi1UZQ4UQQUGohY1Cmcb.jpg,334,500,19,16,94,38,1
19494379,500_F_19494379_7pdJpbJFntIkvvW0P6QI1FFcRv9HD1DB.jpg,334,500,156,12,320,53,10
179534964,500_F_179534964_XwIV3mLluIRJ46wN7C1U1KSAjt02nidB.jpg,500,334,34,32,141,58,2
79383198,500_F_79383198_T4gAYh5ag6iTzQzlFAUkJGIdUh9F5jfO.jpg,500,334,16,21,219,53,5
171166949,500_F_171166949_O8GVqtyYu1I8P3fgg4RiV8fX9we6IpFX.jpg,500,358,335,8,492,130,36
219443417,500_F_219443417_UpDPaLPPf03SAkfZGb5a57yCq5citHKD.jpg,500,334,330,28,470,57,3
113013492,500_F_113013492_mKLwBnvfvJYnfS3nbkVFxbuaRjof8kMk.jpg,500,334,21,288,145,312,2
135145565,500_F_135145565_FsIKrm628aMynrItLLZRAyO5VSONykN3.jpg,334,500,23,20,181,50,5
214829660,500_F_214829660_grCrAMNLpxQeACcASN5u4buQQfFt4Dxa.jpg,500,333,38,32,104,54,1
122378620,500_F_122378620_sVeeenddH2Cax63Thef8CetOEs8tHYT0.jpg,500,500,40,33,152,64,2
76747862,500_F_76747862_EyCNaTFqn9VFbug0MTRlraIva8eLhx4l.jpg,500,334,24,18,165,42,5
202857754,500_F_202857754_PoOEwq2Kuk2fssM9tmwCoOjQybr2mdk2.jpg,334,500,235,18,310,45,1
103154240,500_F_103154240_JeBba3To3572Mugz8evRDiIPJHGbVtVe.jpg,500,334,13,274,386,321,36
2336136,500_F_2336136_oKLeoyGH5Fu35bF3iE2CU0fKUn56lQ.jpg,333,500,33,22,298,65,10
26568099,500_F_26568099_1DuuCJibjyjNLNVwcGAmEUgD6vWIBAa3.jpg,500,334,13,12,127,43,3
76747862,500_F_76747862_EyCNaTFqn9VFbug0MTRlraIva8eLhx4l.jpg,500,334,18,19,243,55,10
127158185,500_F_127158185_Uc0roE3TeZTAp3l1jjhmUErocmj8DkeY.jpg,331,500,170,23,303,55,3
94878717,500_F_94878717_tVDcfg1tViNtwZpbmdKW5JGiEu7G3YPm.jpg,500,333,16,292,113,316,2
90188740,500_F_90188740_RglnTnQzUna5da1x04RW5CELGS9Ucl4t.jpg,500,331,243,24,477,50,5
198616291,500_F_198616291_egiE7tw6Ld63sUI9WlQzcsOGSrcjED2j.jpg,500,334,354,25,474,54,2
4709516,500_F_4709516_cvRiAnCDhurpoU7dIW7gEIelgHaux5yP.jpg,500,334,18,18,125,66,5
117360467,500_F_117360467_Cr56xxSvE1QDZQEbveVci3Q8zORqmOGo.jpg,500,334,347,25,466,52,2
153159361,500_F_153159361_tThe6ezzlhhDXCKwuPf9KpLnhf4Mq7jZ.jpg,334,500,173,434,306,473,5
8592685,500_F_8592685_2IYq5MghfU9pyrkevsh1KpYh4iZQqMHi.jpg,500,335,188,22,306,48,3
56886063,500_F_56886063_WPouT7ZwRT8PjKhovjS9ZwRKPPfdQoYm.jpg,500,329,21,257,338,304,36
224255572,500_F_224255572_sgDqk3bVjtFfnXOZkm4wHh09iSIvmC3V.jpg,500,334,13,15,220,58,10
87035742,500_F_87035742_Te0DeyKDhQPqH4neZFRJhsKSHofhQp3k.jpg,500,282,328,24,473,58,5
218783132,500_F_218783132_7ij6hidGD4YqSenUmIGqAYy4CXj11sJz.jpg,500,334,27,287,135,308,2
169522992,500_F_169522992_C4qkcocGh47o5gyAHXffFjSEFwTfpuls.jpg,500,334,355,14,476,56,5
131875913,500_F_131875913_Nir5x6PuSlVFIMPJRJHWCUFEIKtdKTmX.jpg,500,333,299,24,476,81,10
67110196,500_F_67110196_muouMhKQ6ibxBgmWomdA6Uv6rS8jF1ur.jpg,500,334,293,29,465,59,5
85929457,500_F_85929457_RRiPhfmb2E86rbic2F8a90buErgR4AZL.jpg,500,331,15,238,263,318,36
120618795,500_F_120618795_wHBB7pF5IR2sKXpnBHSGbZfHrhZGSm4F.jpg,500,331,19,21,219,48,5
59168741,500_F_59168741_dlEYZqFsTCe674D1QOXmSucsBNhWupSN.jpg,500,334,27,28,122,53,2
63826746,500_F_63826746_1mYsadPSr93bIHCkh2n5IDrIMhNgUcbL.jpg,334,500,18,17,209,44,5
165123940,500_F_165123940_8lJGbtNjnr3exBlb92Rt3rSQhlCIFbID.jpg,500,334,18,18,151,45,3
140203624,500_F_140203624_uqo5bF6N5EdsPKDMhvH3T6UzPwo5JXm4.jpg,500,475,29,27,232,72,10
12177562,500_F_12177562_kR1QNAYMqfMU9eGKSQOFn9TNGt307jih.jpg,336,500,9,16,197,49,5
126565036,500_F_126565036_zeyYI4mDoTBqpGgK0bKQhY3OMloWTp3I.jpg,333,500,144,451,307,477,3
44543526,500_F_44543526_DIQDULtrEOXX8QcRbmjqmZ0HVPmA1Vk5.jpg,500,334,370,14,483,58,5
99289435,500_F_99289435_I1U1maEsi6eeGnERTtG8HobNybURwiC4.jpg,500,319,327,39,454,63,2
83699088,500_F_83699088_uwmL0pOcitHASxDRAZmGvgKeE3dzfPIQ.jpg,500,334,16,296,88,319,1
189794941,500_F_189794941_wMCFxco5IZVeoAwPaMop1UdPvacgMnD8.jpg,500,334,236,12,442,86,36
214045674,500_F_214045674_gdhBbLjtnnHc6sAxj4uQCMbXqe85Vs41.jpg,500,334,397,24,469,45,1
100673612,500_F_100673612_c1A98Wn9SqwOjeXHjGVijrWvdaUV2gfV.jpg,334,500,173,15,318,104,36
89577050,500_F_89577050_e1Sk8u4OD8111zEVMmFCGf8HFhP0JoSn.jpg,500,334,14,292,202,319,5
220754780,500_F_220754780_bVOgafDN5IjtQG3QGSU0WNj21NSRDm3e.jpg,500,334,22,17,89,36,1
25802616,500_F_25802616_BEsY3GMhIRV3LsMw52a18Ahtp6p8IGjJ.jpg,345,500,26,24,143,49,2
194219975,500_F_194219975_Rgb826uwnR6vCGNrvYwKIa00Rm97Uyom.jpg,500,185,31,27,91,47,1
203648603,500_F_203648603_oONfVxSbWwoYwb5wH03eoJNHdDlmYcCC.jpg,500,334,42,37,212,92,10
52453860,500_F_52453860_2bIcAhPhwKZTeJQmgvja6BP3150nYkjR.jpg,500,334,348,41,451,63,2
58218370,500_F_58218370_u5D33562ccUSDLAuDMwr4ecfSjdRHIF2.jpg,500,334,34,35,132,59,2
142079121,500_F_142079121_BYHRcFwyHouOHndtGulsFHCoYe0bedMg.jpg,500,334,64,22,437,82,36
79226926,500_F_79226926_GbrCpDHbn095raXIgnAq0irnwFG4FgSM.jpg,324,500,23,452,112,481,1
141760235,500_F_141760235_RXtIOwHJzdA4nFYKRC7rePa0Sw648pxQ.jpg,500,334,317,266,464,298,3
125780878,500_F_125780878_3NL007bvVuJuz1gM0rgNGwkkmPHkjs4c.jpg,395,500,25,432,194,474,3
104294912,500_F_104294912_xMhcJZcf28LHppPTrdSbSw1DcHaFs1Fg.jpg,500,334,284,26,451,53,5
211717069,500_F_211717069_ZeyBymiOUlv0HqRneIMnW9KKbmIrfQq5.jpg,500,334,340,30,470,60,3
131998277,500_F_131998277_KPkI4PjiLQq98pAbnywD7UDNhnRIgfmr.jpg,500,334,29,27,206,76,10
150037476,500_F_150037476_umQ3Iyu57Sf4iYZWKnWtBSDkKXnhca8N.jpg,500,334,303,257,479,311,10
58313005,500_F_58313005_vjbhEqRCGp1MsbbT9w8zgxttkO9MHBf2.jpg,500,334,284,27,471,68,10
171508506,500_F_171508506_gv4QleIiYY7EuX2E1FkEE5kvk8TimWUI.jpg,500,334,358,268,483,310,5
75976843,500_F_75976843_dlh7GwvT2JmiF0iK7CrrGcfjkCuoeyH7.jpg,334,500,18,443,263,479,5
135202777,500_F_135202777_JYCIoAKYkMFxmqy0Igxx3DceO0Bmrpa0.jpg,500,334,114,20,397,61,10
85162032,500_F_85162032_UCUxQjB1oX7MapsAWHGGTzyyJ47d5VXP.jpg,500,333,336,37,449,68,3
95301328,500_F_95301328_rVCLd55xjyXrCoKNMHc6hiANO2pgveId.jpg,500,334,16,274,201,316,5
123297617,500_F_123297617_xmNhfebuvt8S02wxIDlQsfQd6wxIAAqy.jpg,375,500,23,409,350,470,36
118983219,500_F_118983219_OoOv8v85WYw1SxZ9s80XzLg57xXRtVH8.jpg,500,334,339,27,471,58,3
219297087,500_F_219297087_X5tjS9nv1YRVUJCTXYxJ8PWwgE18RAzp.jpg,500,334,27,29,170,61,3
61064410,500_F_61064410_bOSPXEc4TwQwqv9OMMSaRCKcsUzwBIqc.jpg,500,334,25,25,222,69,10
39125309,500_F_39125309_eoy9HmnsYRrnTAekXW9IajBz1wIWEp0i.jpg,500,424,20,6,478,38,36
109064132,500_F_109064132_Gum0sR9Gjv5wrFgZeRMYSi04ZAUvKBeQ.jpg,462,500,278,20,441,193,36
174041986,500_F_174041986_SIvssH40Jm1Sc5A5OPD4aQomvD3dFMIX.jpg,500,334,21,19,144,44,3
82043306,500_F_82043306_hX18o8MiZQ0NiXu5e7RXPoP5sWDfpw3N.jpg,500,331,20,264,243,306,10
151316189,500_F_151316189_8VwNRjYkLc8caCDTjWraX5EuIU9zxRXv.jpg,500,282,49,223,446,267,36
91409817,500_F_91409817_Nym21ROJafIosrNPhbJvRRDnHaLttev7.jpg,500,167,385,18,479,43,2
221019887,500_F_221019887_lrTneAIIEoszRwZoIjoNUQALD9OjHY1t.jpg,500,334,25,275,153,304,3
186050460,500_F_186050460_vQMLwrqLUhToxvD7JWzDvcdNaHgEs1ne.jpg,500,375,25,26,174,57,5
165430376,500_F_165430376_RGuCzUq82wesUIRSJVaf5Y2YUREs5uMN.jpg,375,500,269,24,340,58,1
172825386,500_F_172825386_s5Lh04BpdYxlzSWQ8kBskZu9vsXEPPw7.jpg,334,500,18,425,269,478,10
68417014,500_F_68417014_ZJtjb3qZQZqpLCHBz9cZgOlpZ1FmEQse.jpg,500,334,26,25,257,69,10
96513292,500_F_96513292_sObQeJFMwKjIXq7Y5snKZkI53BGMomWW.jpg,500,334,23,22,199,63,10
91091146,500_F_91091146_GahUb3rF40IYXBkBwhdXamrqUkXUBDrH.jpg,500,334,29,14,472,55,36
197609775,500_F_197609775_G0ufpUBwali650BeSbmSJR8PrWd1lpbr.jpg,500,341,374,28,462,55,1
71738556,500_F_71738556_JVPB3Oq19LYM9AcnTpVfH9ViLXaj1LTA.jpg,500,330,272,24,446,51,5
220426000,500_F_220426000_7fonbRXsapzo6KhrM4bpqKlbvIyK5Zx3.jpg,500,319,328,251,465,283,3
27366012,500_F_27366012_2Q73GQV03AslH9tcmT8yTK7q9BfR5ZQx.jpg,500,334,39,31,151,58,2
107558284,500_F_107558284_lIJHnc1tMe18PSfgrpfXoq5hzsjyAcyl.jpg,405,500,31,26,372,82,36
53384907,500_F_53384907_0Vyo5cH3yFQg9KgsLaXGf2GKuSXNT7OK.jpg,500,331,236,275,476,307,10
63404800,500_F_63404800_5unaX8JpyfYZpNiADkKzCOAJkTqrqZxm.jpg,500,334,393,50,447,74,1
169141652,500_F_169141652_knFH5uF2h2fKR03FEhM3dI9UQSiVvkEV.jpg,500,332,368,19,480,45,3
93823492,500_F_93823492_g5V877tuNQWYNuiFdpwUYqnZsGr3ulHQ.jpg,334,500,213,382,313,411,2
175574706,500_F_175574706_x7pAOKkcebbEViP12MUKrVAaWY32PG3D.jpg,500,334,16,21,202,71,10
219845372,500_F_219845372_WmEyPnb1AGVV8unL6DmugLlH6GfGgYy3.jpg,375,500,227,445,350,475,2
49993955,500_F_49993955_hNxzfyNEOGY7lI7BaJy0a18QCgpwTDk1.jpg,500,330,15,14,121,37,2
179358162,500_F_179358162_h1KAl1LvyFlaFVgB0x3BVlTuZYegNl4v.jpg,500,334,30,28,162,55,3
133624574,500_F_133624574_TsUzVi32KYPD2r63CgR4kTHPexB2Vfso.jpg,500,500,31,24,180,57,2
221424041,500_F_221424041_6EOFkhDhwyojJ2JmsHAN1G6VG3C7BBa8.jpg,500,375,38,300,285,344,10
95635483,500_F_95635483_fZHlZVOEVBQiZ3ZoSlEsHYxwOi8NJ2xo.jpg,500,300,61,25,428,82,36
68749346,500_F_68749346_tbiijpdYKwf1R1Mmk1P8BB5kNe3IbC1L.jpg,500,334,34,34,230,70,10
158871925,500_F_158871925_ThFfyf7ZFg6OjehGKsSRhaSDytb8X15r.jpg,500,334,30,32,128,59,2
500_F_186427804_dgSyb3sUpYwGoSMcMzfjls3LzsJo8s0c,500_F_186427804_dgSyb3sUpYwGoSMcMzfjls3LzsJo8s0c.jpg,500,334,25,27,226,70,10
218004623,500_F_218004623_aGRrfSRrica1nO5tP60IlHcTHhU5zhyP.jpg,500,375,324,16,481,39,5
86647224,500_F_86647224_xpJ3XJaOeJE9Zx7GmDYWe3cHeUX6szaf.jpg,334,500,19,18,223,47,5
119180854,500_F_119180854_r7Avq75dnJIVIwD9Bjd6CNIfJQnDYDYF.jpg,500,446,27,23,327,79,36
98615818,500_F_98615818_jwrVRIMJNALtb7Fn2tLxWhSyOpsLYK17.jpg,500,375,12,9,484,42,36
183095364,500_F_183095364_mievjp5khZQ3qCLUwnLF14pqGrYwX039.jpg,500,334,17,17,146,40,3
101835593,500_F_101835593_9jcPKCuDW0ApnpuBbJuPXl4WPv256DZ5.jpg,500,213,176,16,347,47,5
159386702,500_F_159386702_hNswFQPoyOqaxJFzDDrGKZCLNdm5TGU0.jpg,500,375,42,36,152,64,2
128520718,500_F_128520718_Es7u8fGwjf53615nl1185Xkjab0Gavlf.jpg,500,334,365,11,485,34,3
500_F_113507052_ahmQrQL2Ls33kPQNUkx6ojsZgYFaUH1u,500_F_113507052_ahmQrQL2Ls33kPQNUkx6ojsZgYFaUH1u.jpg,334,500,152,13,317,48,5
